,dataset,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,
0,0-atici.csv,3.67653061,42.67113614,2.015976813,2.351175091,2.977368351,2.775431464,3.158803574,600.3537991,600.0775065,131.6909504,144.8938315,6.916555302,50,"['add', 'sub', 'mul', 'div']",,10,
1,0-atici.csv,2.927326797,24.11058736,2.001031956,2.428079303,2.7746798,2.736239572,2.265975446,603.6962388,600.893609,140.0809937,121.2452741,5.793923849,50,"['add', 'sub', 'mul', 'div']",,10,
2,0-atici.csv,4.389836897,27.91517353,2.792856772,3.305122976,3.006585246,5.082380221,4.474894109,600.3175299,600.4738812,185.3958867,19.1854887,7.372423506,50,"['add', 'sub', 'mul', 'div']",,10,
3,0-atici.csv,4.39505312,25.60571027,2.827140472,2.883016872,3.670111636,3.693722429,3.965550303,600.2399583,600.2458284,174.2157602,132.1201715,6.929733944,50,"['add', 'sub', 'mul', 'div']",,10,
4,0-atici.csv,3.836210418,26.07959366,2.273055342,2.532798411,6.62934623,3.345558689,3.602746877,600.2413518,617.3077223,22.93217158,46.0729754,7.191175025,50,"['add', 'sub', 'mul', 'div']",,10,
5,0-atici.csv,3.041745428,28.77754498,1.999748365,2.330836968,3.048674615,2.546731081,2.96216085,605.4306448,600.3508301,110.4679751,78.5557127,5.681158511,50,"['add', 'sub', 'mul', 'div']",,10,
6,0-atici.csv,3.270880622,26.72979283,2.371461673,2.589309165,3.316220679,3.249362527,2.919083722,600.1934319,600.1410007,166.2377069,135.5057061,5.636186156,50,"['add', 'sub', 'mul', 'div']",,10,
7,0-atici.csv,2.737655789,28.86678338,2.094547168,1.980345988,2.82032132,2.933797776,2.256440368,600.4866042,600.9981089,127.8250802,94.12204552,5.680253078,50,"['add', 'sub', 'mul', 'div']",,10,
8,0-atici.csv,3.310325326,46.36526918,3.512446734,3.085373824,5.035314681,4.994249555,3.229700931,600.6757545,600.5044177,125.1185808,27.0538075,5.84453026,50,"['add', 'sub', 'mul', 'div']",,10,
9,0-atici.csv,2.643178736,30.09951091,2.105139587,2.106589448,2.499865896,3.207142658,2.848978995,600.6070435,600.2286808,167.0282345,70.93750787,5.399216036,50,"['add', 'sub', 'mul', 'div']",,10,
10,0-atici.csv,3.581077392,29.52480698,2.169973986,2.409511684,3.366318561,5.595767929,3.170765592,600.3742449,600.3165917,136.8039224,18.82302141,6.458174462,50,"['add', 'sub', 'mul', 'div']",,10,
11,0-atici.csv,3.974166154,28.58462667,2.32160439,3.037926289,5.001429891,3.827415877,4.213970206,600.0921838,600.1424942,174.862164,83.31266809,7.929056905,50,"['add', 'sub', 'mul', 'div']",,10,
12,0-atici.csv,3.364069589,27.1032877,2.044037971,2.764800605,4.968844677,2.981254705,3.263152574,600.5577281,600.5935085,17.46757984,158.0497894,5.396604141,50,"['add', 'sub', 'mul', 'div']",,10,
13,0-atici.csv,3.785740924,28.3815608,2.970117298,3.205366651,2.918837429,2.789862895,3.078387386,600.2053568,604.8384748,69.28693891,96.53189325,5.703808545,50,"['add', 'sub', 'mul', 'div']",,10,
14,0-atici.csv,2.835814142,26.80612326,2.396438667,2.284458582,2.63922179,4.642688122,2.717342509,600.4262867,600.3772035,167.5987461,17.85924053,6.618935482,50,"['add', 'sub', 'mul', 'div']",,10,
15,0-atici.csv,3.451952888,29.76056719,2.044205422,2.453250127,2.364187675,4.347916138,3.339339032,601.411484,600.7122302,168.7371278,32.65511227,6.210438118,50,"['add', 'sub', 'mul', 'div']",,10,
16,0-atici.csv,4.227539636,26.90986633,2.732186186,3.603182523,2.722481986,3.608629574,3.328340035,600.2073359,601.0021262,108.6139545,129.167084,6.085615843,50,"['add', 'sub', 'mul', 'div']",,10,
17,0-atici.csv,3.941144808,24.1070962,3.133858862,2.87616754,4.875995107,3.320805008,3.11882127,608.3043365,600.6675053,36.28837991,112.7059855,5.467401364,50,"['add', 'sub', 'mul', 'div']",,10,
18,0-atici.csv,2.830251893,27.21707296,2.722134425,2.528053033,4.802200944,2.478094061,2.79943392,610.872659,600.3601356,57.10634685,64.24914908,6.75551604,50,"['add', 'sub', 'mul', 'div']",,10,
19,0-atici.csv,3.259331944,45.33354425,2.208556212,2.376601301,5.43634732,2.914575904,3.170765592,600.1967137,600.5024951,29.27583575,120.4973969,6.458174462,50,"['add', 'sub', 'mul', 'div']",,10,
20,0-atici.csv,2.869403752,46.15030122,2.335499435,2.337199227,3.073896108,2.715620902,2.79943392,604.3499615,600.5855806,174.2542489,234.9233308,6.75551604,50,"['add', 'sub', 'mul', 'div']",,10,
21,0-atici.csv,4.024456659,48.06184411,3.38713243,3.000214163,4.808876933,3.342941255,3.877323121,600.6266558,601.1278958,61.23776388,120.1171327,6.064588584,50,"['add', 'sub', 'mul', 'div']",,10,
22,0-atici.csv,4.040283559,51.62010789,3.049532923,3.330409389,4.699621112,3.905152645,4.072720192,600.1815643,600.2112751,105.0693934,99.24262238,6.780976788,50,"['add', 'sub', 'mul', 'div']",,10,
