i,n_samples,noise,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,TPOT_maximizer,AK_maximizer,polynomial,n_variables,n_terms,degree,best_pars_coef,y_std,y_mean,y_abs_mean,y_range,r2
0,5000,0.01,0.040984136,43.62296915,0.041504605,0.040988393,0.046496238,0.043154632,3.562376298,630.7746477,601.1815336,58.20634437,33.10196471,3.561548508,50,"['add', 'sub', 'mul', 'div']",,10,0.040988393,0.043154632,3*x1**2,1,3,3,0.005,3.5655,4.0945,4.0958,12.102,-0.000610989
1,5000,0.01,0.031401264,43.70728898,0.147071003,0.031423414,0.082364874,0.039124669,3.597100561,652.4610429,602.1949947,114.5121031,53.82657123,3.597553275,50,"['add', 'sub', 'mul', 'div']",,10,0.147071003,0.039124669,x2*(x1**2*x2 + x1 + x2),2,3,2,0.01,3.8154,3.1041,3.1234,23.212,-0.000676033
2,5000,0.01,1.282464382,41.81905985,0.603422085,0.260091195,0.127954408,0.086216736,3.953903535,647.9891782,602.9837496,222.3712106,115.1116526,5.096563699,50,"['add', 'sub', 'mul', 'div']",,10,0.260091195,0.086216736,x3*(x1 + x2**3*x3),3,2,3,0.005,5.4678,0.0046,2.9721,62.34,0.396812877
3,5000,0.01,0.018672961,43.60206342,0.105807046,0.018695216,0.073275886,0.029798059,1.948961566,627.9754119,600.4259529,228.4515605,73.80115962,2.468124347,50,"['add', 'sub', 'mul', 'div']",,10,0.018695216,0.029798059,x1*x2*x3 + x1*x3 + x1 + x3,3,4,1,0.005,2.5543,0.0058,1.8683,24.914,0.375169878
4,5000,0.01,0.027049051,42.60113597,0.028323077,0.027029678,0.042245636,0.038154068,2.37423126,604.5368445,601.0242484,59.38454342,58.38035417,2.368555766,50,"['add', 'sub', 'mul', 'div']",,10,0.028323077,0.038154068,2*x2**2,4,2,2,0.005,2.3992,2.7104,2.7111,8.0861,-0.008817721
5,5000,0.01,4.418764148,48.81891942,2.048397497,0.647967237,0.561965143,0.424080579,10.12777244,606.9475992,601.7692587,484.3768127,492.1423225,12.3406135,50,"['add', 'sub', 'mul', 'div']",,10,2.048397497,0.424080579,x1**2*x2**3*x3**2 + x1**2 + x2*x3**2,3,3,3,0.005,11.502,1.2402,5.5471,207.52,0.326472722
6,5000,0.01,0.019830166,44.3126862,0.021670758,0.01989816,0.024617715,0.022807402,1.776479713,602.7319963,601.7385471,67.42489028,38.39356256,3.373389267,50,"['add', 'sub', 'mul', 'div']",,10,0.01989816,0.022807402,x1**2*(x1 + 1),1,2,3,0.005,3.2148,1.342,2.0189,16.003,0.721858936
7,5000,0.01,7.019496994,42.23355484,2.954378563,4.961333642,2.237250914,1.415107087,8.060291383,635.26227,604.3051581,459.7895734,409.7852535,8.107377979,50,"['add', 'sub', 'mul', 'div']",,10,2.954378563,1.415107087,x2*(x1*x2*x3**2*x4*x5**2 + 1),5,2,2,0.005,8.1263,0.099,2.9376,256.9,0.011568085
8,5000,0.01,0.034052592,46.28975105,0.034503109,0.034074489,0.043533186,0.04173605,1.20711267,600.7538483,600.8562648,62.72531915,56.39976382,3.878732426,50,"['add', 'sub', 'mul', 'div']",,10,0.034503109,0.04173605,3*x1 + x2**2 + x2,2,5,2,0.005,3.8332,1.3733,3.386,18.097,0.903124733
9,5000,0.01,3.543241941,59.7870214,1.852973656,1.026433156,0.886867924,0.729086326,10.65381187,602.3017445,603.5612752,421.4671514,326.1685994,11.48894703,50,"['add', 'sub', 'mul', 'div']",,10,1.026433156,0.729086326,x1**3 + x1*x2**3 + x1*x2**2*x3 + x2**3*x3**3 + x3**3,3,5,3,0.005,11.194,-0.1714,6.4186,165.85,0.138959775
10,5000,0.01,0.054026431,44.39023995,0.056760865,0.05405417,0.069192012,0.05524138,4.865769627,605.2505918,609.3921752,67.77426052,53.19225883,4.865340392,50,"['add', 'sub', 'mul', 'div']",,10,0.056760865,0.05524138,4*x1**2,1,4,2,0.005,4.7697,5.4035,5.4055,16.159,-0.000561693
11,5000,0.01,2.476019214,44.70428967,0.857223282,0.605341877,0.494595891,0.435156178,3.358191845,607.490093,614.8123908,604.5115097,517.8805089,3.356873392,50,"['add', 'sub', 'mul', 'div']",,10,0.857223282,0.435156178,x2*x3*x4*(x1*x3 + x2),4,2,2,0.005,3.592,-0.0755,1.7521,63.216,-0.001305702
12,5000,0.01,1.600892869,54.30801129,0.191383762,0.45247792,0.306426308,0.248057669,4.180939417,604.6497269,601.9112778,487.2235203,450.2942667,5.043646524,50,"['add', 'sub', 'mul', 'div']",,10,0.191383762,0.248057669,x3*(x1*x2**3 + x3**2),3,2,3,0.05,5.0387,0.0755,3.1483,62.624,0.312767674
13,5000,0.01,5.849285993,46.26645541,3.482541814,2.891140456,1.255644128,1.212836438,9.532292045,608.7534962,609.9538777,460.3688023,672.8667145,9.90955824,50,"['add', 'sub', 'mul', 'div']",,10,2.891140456,1.255644128,x4*(2*x1**2*x2**2*x3 + x2**2*x3*x4 + 1),4,4,2,0.03,9.8905,-0.0325,4.5202,184.4,0.073997608
